OTUID,taxonomy,Phylum,Class,Order,Family,Genus,Species,confidence,OTU_ID,CCR1,CCR2,CCR3,CCR4,CCR5,CCR6,CCSH1,CCSH2,CCSH3,CCSH4,CCSH5,CCSH6,CNR1,CNR2,CNR3,CNR4,CNR5,CNR6,CNSH1,CNSH2,CNSH3,CNSH4,CNSH5,CNSH6,CWNR1,CWNR2,CWNR3,CWNR4,CWNR5,CWNR6,CWNSH1,CWNSH2,CWNSH3,CWNSH4,CWNSH5,CWNSH6,CWR1,CWR2,CWR3,CWR4,CWR5,CWR6,CWSH1,CWSH2,CWSH3,CWSH4,CWSH5,CWSH6,DCR1,DCR2,DCR3,DCR4,DCR5,DCR6,DCSH1,DCSH2,DCSH3,DCSH4,DCSH5,DCSH6,DNR1,DNR2,DNR3,DNR4,DNR5,DNR6,DNSH1,DNSH2,DNSH3,DNSH4,DNSH5,DNSH6,DWNR1,DWNR2,DWNR3,DWNR4,DWNR5,DWNR6,DWNSH1,DWNSH2,DWNSH3,DWNSH4,DWNSH5,DWNSH6,DWR1,DWR2,DWR3,DWR4,DWR5,DWR6,DWSH1,DWSH2,DWSH3,DWSH4,DWSH5,DWSH6,HCR1,HCR2,HCR3,HCR4,HCR5,HCR6,HCSH1,HCSH2,HCSH3,HCSH4,HCSH5,HCSH6,HNR1,HNR2,HNR3,HNR4,HNR5,HNR6,HNSH1,HNSH2,HNSH3,HNSH4,HNSH5,HNSH6,HWNR1,HWNR2,HWNR3,HWNR4,HWNR5,HWNR6,HWNSH1,HWNSH2,HWNSH3,HWNSH4,HWNSH5,HWNSH6,HWR1,HWR2,HWR3,HWR4,HWR5,HWR6,HWSH1,HWSH2,HWSH3,HWSH4,HWSH5,HWSH6
0437e16183a505cbd621a36bddfd131c,k__Fungi,k__Fungi,k__Fungi,k__Fungi,k__Fungi,k__Fungi,k__Fungi,0.99948751,0437e16183a505cbd621a36bddfd131c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05504503d35627e5bb2445563629faf8,k__Fungi,k__Fungi,k__Fungi,k__Fungi,k__Fungi,k__Fungi,k__Fungi,0.999516886,05504503d35627e5bb2445563629faf8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05586561715e9f1d585445d348557fac,k__Fungi,p__Basidiomycota,c__Malasseziomycetes,o__Malasseziales,f__Malasseziaceae,g__Malassezia,s__Malassezia_globosa,1,05586561715e9f1d585445d348557fac,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,3,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057801c7ac4baf51ed421ab7290b6e83,k__Fungi,k__Fungi,k__Fungi,k__Fungi,k__Fungi,k__Fungi,k__Fungi,0.999535752,057801c7ac4baf51ed421ab7290b6e83,0,0,9,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05c64b696a117f02a938927cabd7a317,k__Fungi,p__Basidiomycota,c__Agaricomycetes,k__Fungi,k__Fungi,k__Fungi,k__Fungi,0.743260359,05c64b696a117f02a938927cabd7a317,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0675c249a1dbeb63037d06249c62b865,k__Fungi,k__Fungi,k__Fungi,k__Fungi,k__Fungi,k__Fungi,k__Fungi,0.999381062,0675c249a1dbeb63037d06249c62b865,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06a1548ddfa4c2b682eaa0128cdb2c96,k__Fungi,k__Fungi,k__Fungi,k__Fungi,k__Fungi,k__Fungi,k__Fungi,0.999606204,06a1548ddfa4c2b682eaa0128cdb2c96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06ee461ef5cc56b290549ec601f17a38,k__Fungi,k__Fungi,k__Fungi,k__Fungi,k__Fungi,k__Fungi,k__Fungi,0.999529225,06ee461ef5cc56b290549ec601f17a38,0,0,0,15,0,74,0,0,0,0,0,0,0,3,0,9,17,0,0,0,0,0,0,0,10,0,13,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,6,22,0,14,0,38,0,20,0,12,16,0,0,4,9,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,117,0,0,0,0,0,0,15,17,207,27,0,0,0,0,0,0,0,29,0,0,9,24,0,0,0,0,0,0,0,21,0,43,0,280,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07a1124175aeb3147700589bddfb779d,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Phaffomycetaceae,g__Wickerhamomyces,k__Fungi,0.998403459,07a1124175aeb3147700589bddfb779d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07b6fbe34995f619a77ebe7cb09fa0fa,k__Fungi,k__Fungi,k__Fungi,k__Fungi,k__Fungi,k__Fungi,k__Fungi,0.999752147,07b6fbe34995f619a77ebe7cb09fa0fa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
